,name,profile_link,bio,D.O.B,image,Other_Works,Nick_Name,star_sign,trivia,trademark,quote,height,ALternate Names
132," Rajesh Khanna
",https://www.imdb.com/name/nm0004435,"
    Rajesh Khanna, the first superstar of Indian and Hindi Cinema with 74 Golden Jubilee Hits - (which includes 48 Platinum Jubilee hits and 26 Golden Jubilee Hits) & in addition had 22 Silver Jubilee Hits and 9 average hits, was born on 29 December 1942 in Amritsar, Punjab, India.Rajesh entered Hindi films in the year 1965 when he began shooting for ...            
See full bio »
            
","
December 29, 
     
1942","https://m.media-amazon.com/images/M/MV5BMTQ1OTE5NDEwNV5BMl5BanBnXkFtZTcwNjgzMTcxOA@@._V1_UY317_CR2,0,214,317_AL__QL50.jpg","

                	Stage play: 
    for St. Sebastian's Goan High School as an actor in inter school drama competition                    
See more

                    »
        ","

            RK
                
See more

                »
        ","

Capricorn
","

    It was Superstar Rajesh Khanna who asked Devar Films to make Jaanwar Aur Insaan with Shashi Kapoor as after Haathi Mere Saathi(1971). Khanna did not again, so soon, do a film with animals. Later Khanna recommended Shashi Kapoor for the lead role even in Mr. Romeo as he had done a musical love story Mere Jeevan Saathi already. For both the films - Jaanwar Aur Insaan and Mr.Romeo first choice was ...                    
See more

                    »
        ",,"

    [on his 100 percent success with certain heroines] Difference between my pairing with Mumtaz and other heroines was that all the 8 films where we were paired together became platinum jubilee hits.As such I have 100% success ratio even opposite Jaya Prada with 5 hits, Rekha with 5 hits, Nanda with 3 hits, Rakhee with 3 hits, Reena Roy with 4 hits, Padmini Kolhapuri with 4 hits, Sridevi with 4 hits...                    
See more

                    »
        ","

5' 6¼"" (1.69 m)        ","

            'SuperStar' Rajesh Khanna | 'Superstar' Rajesh Khanna | Bombay Super Star Rajesh Khanna | Bombay Superstar Rajesh Khanna | Shri Rajesh Khanna | Super Star Rajesh Khanna | Superstar Rajesh Khanna
        "
133," Raghuvaran
",https://www.imdb.com/name/nm0706499,"
    Raghuvaran was born on December 10, 1958 in Kollankod, Palakkad, Kerala, India as Raghuvaran Velayutham Nair. He was an actor, known for Mudhalvan (1999), Amarkalam (1999) and Anaganaga Oka Roju (1997). He was married to Rohini. He died on March 19, 2008 in Chennai, Tamil Nadu, India.            
See full bio »
            
","
December 10, 
     
1958","https://m.media-amazon.com/images/M/MV5BZjM0NmMyZTYtYmY3My00NDFkLTk1YTAtOGE3YTVjMGMyNzQ5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Sagittarius
","

    Is currently a supporting actor for the lead heroes in Tamil movies, like Madhavan and Vijay.        ",,,,"

            Raguvaran
        "
134," Raj Babbar
",https://www.imdb.com/name/nm0044796,"
    Raj Babbar was born on June 23, 1952 in Tundla, Uttar Pradesh, India. He is an actor, known for Pukaar (2014), Aaj Ki Awaz (1984) and Umrao Jaan (1981). He is married to Nadira Babbar. They have two children. He was previously married to Smita Patil.            
See full bio »
            
","
June 23, 
     
1952","https://m.media-amazon.com/images/M/MV5BMTQ1MjEwMjM3MF5BMl5BanBnXkFtZTgwNjM4NDczMDE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Cancer
","

    Raj Babbar and Smita Patil were to appear as guest stars in the Nazia Hassan and Zoheb Hassan show in Vancouver,B.C.Canada. This was in 1984. But Raj Babbar and Smita backed out at the last minute causing commotion for the promoters. Stardust Magazine November 1984, had a article about the story.                    
See more

                    »
        ",,,"

5' 7"" (1.7 m)        ","

            Raaj Babbar
        "
135," Raj Kapoor
",https://www.imdb.com/name/nm0004292,"
    Raj Kapoor was the son of well-known Indian actor Prithviraj Kapoor, who acted both in film and on stage. After apprenticing in the Bollywood production studios of the 1940's, at 24 years of age Raj Kapoor produced, directed and acted in Aag (1948), with his new company, RK Films. His next production, Barsaat (1949), was a smash hit. In 1951, he ...            
See full bio »
            
","
December 14, 
     
1924","https://m.media-amazon.com/images/M/MV5BNjYwODQzMjk3Ml5BMl5BanBnXkFtZTYwNzIxMjky._V1_UY317_CR13,0,214,317_AL__QL50.jpg",,"

            Showman of Bollywood
        ","

Sagittarius
","

    Cousin of actor Pinchoo Kapoor .                    
See more

                    »
        ",,"

    There is nothing in this world except love. The more you spread it or give it, the more it expands. The more you accept love, the stronger it becomes. The more you bring out love, the better and greater you become. There are many forms of love. If you make it narrow, then it becomes selfish. Selfish love can benefit a person but he loses his significance.                    
See more

                    »
        ","

5' 7"" (1.7 m)        ","

            Late Shri Raj Kapoor | Shri Raj Kapoor
        "
136," Rajit Kapoor
",https://www.imdb.com/name/nm0438496,"
    Rajit Kapoor was born on May 22, 1960 in Amritsar, Punjab, India. He is an actor and director, known for The Making of the Mahatma (1996), Uri: The Surgical Strike (2019) and Suraj Ka Satvan Ghoda (1992).            
See full bio »
            
","
May 22, 
     
1960","https://m.media-amazon.com/images/M/MV5BZDhlNDEwMjgtMWY5NC00MGEyLThhODEtZjAyYzIyMmU1ZDUxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR13,0,214,317_AL__QL50.jpg",,,"

Gemini
",,,,,"

            Rajit Kapur
        "
137," Radhika Apte
",https://www.imdb.com/name/nm2331000,"
    Radhika Apte is a well-known Indian theatre and film actress born in Vellore and brought up in Pune. Before endeavoring into films, she began with theatre. Radhika Apte is a perfect example of beauty with brains. Apte is an Economics and Mathematics graduate from Fergusson College, Pune. Apte during her growing up days in Pune, she learned Kathak ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BZmQ0NjY5YmItMTAwOC00MWVlLThkZTgtYmZhMDg1ZjY2ODMwXkEyXkFqcGdeQXVyNjM5MTI3ODQ@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,,"

    Was involved with Tusshar Kapoor during Shor in The City.        ",,"

    A producer tried to use his power against me. I just took off my jewellery and said 'Bye bye'. He then sued me but nothing happened.                    
See more

                    »
        ","

5' 1½"" (1.56 m)        ",
138," Rakhee Gulzar
",https://www.imdb.com/name/nm0347901,"
    Rakhee was born in a Bengali-speaking family in West Bengal, on India's Independence Day - 15th August, 1947. She has no connections with anyone in the film industry in India. She achieved phenomenal success at her very first movie in Bengali 'Bandhu Baran' during the year 1967. She was then noticed by noted Bollywood actor, Sunil Dutt, who ...            
See full bio »
            
","
August 15, 
     
1947","https://m.media-amazon.com/images/M/MV5BMDVlNTM4YTUtNjA2My00OWQ0LThjYzAtYmU0ZGQ0NGE3YjQ1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,,"

Leo
","

    Rakhee worked with Shashi Kapoor in 10 released films and the pair gave 6 hits - Sharmelee1971), Jaanwar Aur Insaan (1972), Kabhi Kabhie (1976), the critically acclaimed Trishna (1978), Baseraa (1981) and Pighalta Aasman (1985) and had 4 box-office flops - Bandhan Kuchchey Dhaagon Ka (1983), Bandh Honth (1984, Zameen Aasmaan (1984) and Doosara Aadmi (1977).Another film of the pair Ek Do Teen Char...                    
See more

                    »
        ",,"

    Rajesh was the most versatile among heroes with whom I have worked. Rajesh was like one of the seven wonders for the industry. There was magic in his face and mannerisms. He was shy and conservative but misunderstood.He did not use any make up ever. Would anybody from the current crop of actors do a film like Bawarchi?What if he came late, he gave shots in one take or would give shots within a ...                    
See more

                    »
        ","

5' 2½"" (1.59 m)        ","

            Rakhee Biswas | Raakhee Gulzar | Raakhi Gulzar | Raakhee | Rakhee | Rakhi
        "
139," Riteish Deshmukh
",https://www.imdb.com/name/nm1299011,"
    Riteish Deshmukh is an Indian actor, producer and architect who appears in Bollywood films. He is the son of Late. Vilasrao Deshmukh, the former Union Minister for Science, Technology and Earth Sciences, Government of India, and the former Chief Minister of Maharashtra. Riteish debuted with K. Vijaya Bhaskar's Tujhe Meri Kasam (2003) with his ...            
See full bio »
            
","
December 17, 
     
1978","https://m.media-amazon.com/images/M/MV5BMTU3NDM3NDM3Ml5BMl5BanBnXkFtZTgwMzk4ODEzOTE@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",,"

            Ritesh D
        ","

Sagittarius
","

    Was holidaying with Subash Ghai in London during the shooting of Yaadien. Cinemetographer Kabir Lal met Ritesh on the sets and offered him his first movie. Ritesh was shocked as he had not told anyone he wanted to be an actor.                    
See more

                    »
        ",,,"

5' 8"" (1.73 m)        ","

            Ritesh Deshmukh | Ritiesh Deshmukh | Riteish
        "
140," Ranvir Shorey
",https://www.imdb.com/name/nm1249116,"
    Ranvir comes from a family of movie professionals. His father is Writer, Producer and Director KD Shorey and He has 2 older Brothers, Lokesh Shorey an actor and Shrinath Shorey a movie Writer and Director. Ranvir though born in Panjab, was raised and educated in Mumbai. He was very active in dramatics in school and later in college.            
See full bio »
            
","
August 18, 
     
1972","https://m.media-amazon.com/images/M/MV5BMTIzOTE5MzMyMl5BMl5BanBnXkFtZTcwMjAyNzAyMg@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,,"

Leo
","

    Father of his first child, a son name Haroon Shorey was born March 15, 2011, with his ex-wife Konkona Sen Sharma.                    
See more

                    »
        ",,,"

6' (1.83 m)        ","

            Ranvir Sheorey | Ranvir Shoerey | Ranveer Shorey | Ranveer Shourie
        "
141," Richa Chadha
",https://www.imdb.com/name/nm3190246,"
    Richa began her career as a model and then she moved to theater. She has performed plays touring in India and Pakistan. Later, she also received her training under Barry John Richa acted in the critically acclaimed movie Oye Lucky! Lucky Oye! as the character of Dolly, both the movie and her role were well appreciated. She was cast by Anurag ...            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BOTQ3MzVkNjUtODYwNi00N2Q2LTg3YTAtNDUxM2JiNDViN2IyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR19,0,214,317_AL__QL50.jpg",,,,,,,"

5' 1¾"" (1.57 m)        ","

            Richa Chadda
        "
142," Rajpal Yadav
",https://www.imdb.com/name/nm1056425,"
    Rajpal Yadav was born on March 16, 1971 in Shahjahanpur, Uttar Pradesh, India. He is an actor and writer, known for Kal ho naa ho (2003), Jungle (2000) and Main, Meri Patni... Aur Woh! (2005). He has been married to Radha Yadav since June 10, 2003.            
See full bio »
            
","
March 16, 
     
1971","https://m.media-amazon.com/images/M/MV5BMTQ3MTI4MzUyNl5BMl5BanBnXkFtZTgwMjAzMTMzOTE@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,,"

Pisces
","

    Has 2 daughters, Elder one Moni, younger one Honey.                    
See more

                    »
        ",,,"

5' 3"" (1.6 m)        ","

            Raajpal Yadav
        "
143," Raju Srivastava
",https://www.imdb.com/name/nm1555152,"
    Raju Srivastav (born Satyaprakash Srivastava) often credited as Raju Shrivastav or Raju Srivastava, is an Indian comedian, and more popularly, an observational comedian. He is known most for his acute scrutiny and comical timing about various Indian aspects of life. Satyaprakash Srivastava was born in Kanpur, India in a middle class Kayastha family...            
See full bio »
            
","
December 25, 
     
1963","https://m.media-amazon.com/images/M/MV5BZjc5MTYwYjEtZmJiMC00YzA3LThiZGYtMWY2NjE2ZDNmYWFjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",,,"

Capricorn
",,,,,"

            Rajoo | Raju Shrivashtav | Raju Shrivastav | Raju Srivastav
        "
144," Randeep Hooda
",https://www.imdb.com/name/nm0393535,"
    Randeep Hooda was born in a small village called Daseya in the Rohtak district of Haryana. His mother, Asha Hooda, is a BJP politician and his father is a surgeon by profession. He did schooling from Delhi Public School before moving to Australia for higher studies. He is Bachelors in Marketing & Human Resource Management. He made his film debut in...            
See full bio »
            
","
August 20, 
     
1976","https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",,,"

Leo
","

    Ram Gopal Varma had planned to remake his Tamil hit film ""Shock"" in Hindi. He had taken Randeep Hooda and Jijy Phillips as a the director. Eventually the film got shelved. This was in 2006. After Hooda had several problems with the production people of Ram Gopal Varma's company, he was replaced by Mohit Ahlawat for the film. Many kept saying Hooda would keep demanding changes in all the scripts.                    
See more

                    »
        ",,"

    I'm really not nervous. I've gone through the process of the acting in theater. I've done my best. What happens now is not in my hands. If you have life's experiences with you nothing can stop you from being a competent actor                    
See more

                    »
        ","

5' 10"" (1.78 m)        ",
145," Sanjay Mishra
",https://www.imdb.com/name/nm0592799,"
    Sanjay Mishra is known for his work on Masaan (2015), Dilwale (2015) and Ankhon Dekhi (2013).            
See full bio »
            
",,"https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_UX214_CR0,0,214,317_AL__QL50.jpg","

    Bunty Aur Bubli                    
See more

                    »
        ",,,"

    Wife name is Kiran. Daughters names are Pal and Lamha.                    
See more

                    »
        ",,,"

5' 5½"" (1.66 m)        ","

            Mishra Mahesh | Sanjai Mishra | Sanjay Misra
        "
146," Shabana Azmi
",https://www.imdb.com/name/nm0000818,"
    One of the leading lights of the now-largely-defunct Indian New Wave, Shabana Azmi (alongside the late Smita Patil) was one of the main female actors who dominated the films of the so-called ""Parallel Cinema"" in India in the 1970s and 1980s. Born to noted Urdu progressive poet and lyricist Kaifi Azmi and theatre actress Shaukat Azmi, Shabana has ...            
See full bio »
            
","
September 18, 
     
1950","https://m.media-amazon.com/images/M/MV5BMTQ1NTE0NDgxMl5BMl5BanBnXkFtZTYwNzMyODEz._V1_UY317_CR28,0,214,317_AL__QL50.jpg","

    She acted in the Royal National Theatre repertoire season at the Cottesloe Theatre, Laurence Olivier Theatre, and Lyttelton Theatre in London, England in Alan Ayckbourn's play, ""House + Garden;"" William Shakespeare's plays, ""Romeo and Juliet,"" ""Hamlet;"" Arthur Miller's play, ""All My Sons;"" Ken Campbell's play, ""History of the ...                    
See more

                    »
        ",,"

Virgo
","

    Sister of Baba Azmi.                    
See more

                    »
        ",,"

    I'm not averse to doing anything as long as it's not at cross purposes with my values and I can make time for it.                    
See more

                    »
        ","

5' 6"" (1.68 m)        ","

            Shabana Asmi | Shabbana Azmi
        "
